#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_5,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
,freq,0.65,1.25,2.5,5.0,7.5,10.0,15.0,30.0
240,49000,90.048,89.592,88.409,87.763,86.163,83.857,82.845,78.942
241,49200,90.045,89.587,88.407,87.759,86.164,83.860,82.845,78.948
242,49400,90.041,89.591,88.407,87.762,86.164,83.858,82.846,78.952
243,49600,90.039,89.585,88.405,87.758,86.164,83.861,82.849,78.951
244,49800,90.039,89.581,88.405,87.758,86.164,83.864,82.848,78.949
245,50000,90.036,89.578,88.404,87.757,86.165,83.865,82.852,79.241
246,50200,90.035,89.579,88.403,87.756,86.163,83.868,82.850,78.956
247,50400,90.033,89.578,88.403,87.757,86.163,83.871,82.853,78.958
248,50600,90.033,89.575,88.402,87.755,86.160,83.873,82.854,78.961
249,50800,90.027,89.574,88.398,87.752,86.160,83.874,82.855,78.964
250,51000,90.025,89.571,88.398,87.751,86.158,83.875,82.855,78.963
251,51200,90.022,89.569,88.398,87.750,86.158,83.879,82.858,78.965
252,51400,90.025,89.569,88.394,87.746,86.157,83.882,82.857,78.972
253,51600,90.022,89.566,88.397,87.749,86.157,83.882,82.859,78.970
254,51800,90.019,89.563,88.393,87.747,86.152,83.883,82.860,78.972
255,52000,90.014,89.560,88.391,87.743,86.150,83.883,82.858,78.977
256,52200,90.015,89.559,88.392,87.747,86.151,83.887,82.862,78.978
257,52400,90.013,89.556,88.391,87.744,86.148,83.889,82.863,78.984
258,52600,90.009,89.554,88.389,87.743,86.148,83.891,82.863,78.982
259,52800,90.005,89.552,88.388,87.741,86.148,83.893,82.866,78.990
260,53000,90.003,89.550,88.386,87.741,86.148,83.895,82.868,78.989
261,53200,90.002,89.548,88.386,87.738,86.148,83.897,82.869,78.996
262,53400,90.000,89.545,88.383,87.737,86.150,83.899,82.869,78.995
263,53600,89.999,89.542,88.382,87.735,86.153,83.898,82.868,78.996
264,53800,89.995,89.540,88.382,87.734,86.155,83.901,82.870,79.002
265,54000,89.996,89.540,88.383,87.735,86.156,83.905,82.872,79.003
266,54200,89.996,89.539,88.382,87.735,86.160,83.908,82.875,79.007
267,54400,89.996,89.537,88.383,87.734,86.160,83.908,82.876,79.017
268,54600,89.992,89.535,88.379,87.730,86.162,83.910,82.878,79.012
269,54800,89.990,89.532,88.379,87.729,86.161,83.913,82.878,79.015
270,55000,89.991,89.529,88.375,87.728,86.162,83.915,82.879,79.018
271,55200,89.992,89.529,88.378,87.728,86.162,83.918,82.883,79.024
272,55400,89.988,89.529,88.379,87.730,86.162,83.920,82.886,79.029
273,55600,89.985,89.527,88.377,87.728,86.162,83.922,82.886,79.176
274,55800,89.982,89.523,88.375,87.727,86.158,83.924,82.886,79.030
275,56000,89.976,89.519,88.372,87.724,86.156,83.924,82.886,79.036
276,56200,89.972,89.517,88.370,87.722,86.152,83.924,82.885,79.030
277,56400,89.972,89.514,88.369,87.720,86.153,83.928,82.887,79.037
278,56600,89.971,89.513,88.370,87.718,86.153,83.930,82.891,79.039
279,56800,89.968,89.511,88.367,87.718,86.152,83.933,82.894,79.047
280,57000,89.968,89.509,88.367,87.717,86.153,83.935,82.895,79.052
281,57200,89.968,89.506,88.366,87.715,86.155,83.935,82.896,79.053
282,57400,89.962,89.506,88.364,87.715,86.154,83.939,82.897,79.056
283,57600,89.960,89.505,88.364,87.714,86.157,83.941,82.898,79.059
284,57800,89.959,89.502,88.363,87.711,86.161,83.942,82.897,79.063
285,58000,89.956,89.500,88.362,87.712,86.161,83.945,82.901,79.068
286,58200,89.955,89.499,88.360,87.710,86.163,83.949,82.904,79.071
287,58400,89.952,89.495,88.359,87.710,86.164,83.949,82.905,79.076
288,58600,89.950,89.494,88.359,87.709,86.163,83.950,82.905,79.076
289,58800,89.947,89.490,88.357,87.707,86.163,83.950,82.905,79.124
290,59000,89.947,89.489,88.357,87.706,86.165,83.955,82.909,79.085
291,59200,89.947,89.486,88.359,87.708,86.163,83.959,82.910,79.090
292,59400,89.943,89.488,88.357,87.707,86.166,83.962,82.914,79.093
293,59600,89.939,89.485,88.357,87.706,86.166,83.962,82.914,79.096
294,59800,89.938,89.481,88.353,87.702,86.163,83.963,82.916,79.098
295,60000,89.936,89.480,88.352,87.702,86.160,83.964,82.918,79.096
296,60200,89.933,89.477,88.349,87.699,86.160,83.966,82.918,79.104
297,60400,89.935,89.475,88.349,87.700,86.164,83.968,82.920,79.109
298,60600,89.934,89.473,88.349,87.699,86.168,83.971,82.922,79.115
299,60800,89.934,89.471,88.348,87.698,86.173,83.973,82.923,79.117
300,61000,89.929,89.468,88.347,87.696,86.178,83.976,82.925,79.121
301,61200,89.927,89.465,88.343,87.695,86.178,83.975,82.926,79.125
302,61400,89.921,89.463,88.343,87.693,86.178,83.979,82.927,79.128
303,61600,89.919,89.462,88.343,87.693,86.176,83.982,82.929,79.134
304,61800,89.919,89.460,88.345,87.692,86.176,83.987,82.931,79.136
305,62000,89.920,89.459,88.344,87.693,86.177,83.989,82.935,79.141
306,62200,89.919,89.457,88.342,87.691,86.176,83.991,82.938,79.148
307,62400,89.916,89.455,88.341,87.690,86.173,83.993,82.938,79.145
308,62600,89.919,89.452,88.339,87.689,86.173,83.993,82.941,79.127
309,62800,89.918,89.452,88.338,87.687,86.173,83.998,82.941,79.157
310,63000,89.915,89.449,88.338,87.687,86.171,84.000,82.942,79.164
311,63200,89.913,89.448,88.338,87.685,86.176,84.002,82.946,79.167
312,63400,89.909,89.447,88.336,87.685,86.178,84.004,82.948,79.171
313,63600,89.906,89.442,88.336,87.684,86.180,84.006,82.950,79.176
314,63800,89.902,89.441,88.333,87.682,86.183,84.009,82.951,79.181
315,64000,89.897,89.439,88.333,87.683,86.187,84.009,82.952,79.188
316,64200,89.893,89.436,88.332,87.679,86.187,84.011,82.954,79.186
317,64400,89.891,89.436,88.331,87.679,86.189,84.015,82.956,79.192
318,64600,89.888,89.432,88.329,87.679,86.188,84.015,82.958,79.197
319,64800,89.887,89.431,88.329,87.675,86.189,84.019,82.960,79.199
320,65000,89.885,89.429,88.325,87.677,86.184,84.020,82.962,79.201
321,65200,89.884,89.425,88.326,87.673,86.184,84.022,82.963,79.206
322,65400,89.884,89.424,88.325,87.673,86.185,84.024,82.965,79.212
323,65600,89.883,89.423,88.325,87.672,86.187,84.028,82.968,79.220
324,65800,89.883,89.421,88.324,87.672,86.189,84.030,82.970,79.217
325,66000,89.882,89.419,88.324,87.672,86.191,84.034,82.973,79.229
326,66200,89.881,89.416,88.323,87.671,86.191,84.035,82.975,79.230
327,66400,89.877,89.413,88.322,87.669,86.193,84.036,82.974,79.235
328,66600,89.874,89.412,88.321,87.668,86.194,84.040,82.978,79.238
329,66800,89.870,89.410,88.319,87.666,86.195,84.042,82.978,79.244
330,67000,89.866,89.408,88.319,87.667,86.194,84.043,82.981,79.248
331,67200,89.864,89.407,88.318,87.664,86.194,84.046,82.982,79.254
332,67400,89.861,89.402,88.318,87.661,86.192,84.045,82.987,79.258
333,67600,89.863,89.400,88.316,87.663,86.189,84.051,82.988,79.263
334,67800,89.860,89.400,88.315,87.661,86.192,84.054,82.989,79.259
335,68000,89.857,89.398,88.314,87.661,86.191,84.057,82.993,79.275
336,68200,89.855,89.396,88.311,87.660,86.187,84.057,82.991,79.294
337,68400,89.850,89.394,88.312,87.658,86.189,84.061,82.995,79.284
338,68600,89.850,89.391,88.312,87.657,86.190,84.062,82.998,79.286
339,68800,89.849,89.390,88.308,87.656,86.192,84.064,83.000,79.290
340,69000,89.847,89.387,88.309,87.656,86.194,84.068,83.001,79.287
341,69200,89.844,89.385,88.308,87.656,86.198,84.070,83.004,79.300
342,69400,89.841,89.382,88.307,87.653,86.201,84.071,83.005,79.305
343,69600,89.839,89.382,88.307,87.652,86.204,84.075,83.007,79.311
344,69800,89.836,89.380,88.306,87.653,86.206,84.077,83.011,79.321
345,70000,89.835,89.377,88.305,87.652,86.205,84.080,83.013,79.323
346,70200,89.833,89.375,88.304,87.650,86.204,84.082,83.015,79.315
347,70400,89.832,89.373,88.303,87.649,86.201,84.085,83.016,79.331
